2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 12, tcp_pkt_count_tot: 6, udp_pkt_count_tot: 6, icmp_pkt_count_tot: 0, pkt_buf_count: 7, flow_hash_count: 7, pkt_desc_count: 7, circ_buf_L1_count: 5, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 7, pkt_list_count_use: 7, flow_hash_list_count_tot: 7, flow_hash_list_count_use: 7, pkt_desc_list_count_tot: 7, pkt_desc_list_count_use: 7, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 5, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 5, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 13, tcp_pkt_count_tot: 7, udp_pkt_count_tot: 6, icmp_pkt_count_tot: 0, pkt_buf_count: 8, flow_hash_count: 8, pkt_desc_count: 8, circ_buf_L1_count: 6, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 8, pkt_list_count_use: 8, flow_hash_list_count_tot: 8, flow_hash_list_count_use: 8, pkt_desc_list_count_tot: 8, pkt_desc_list_count_use: 8, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 5, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 5, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 14, tcp_pkt_count_tot: 7, udp_pkt_count_tot: 7, icmp_pkt_count_tot: 0, pkt_buf_count: 8, flow_hash_count: 8, pkt_desc_count: 8, circ_buf_L1_count: 6, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 8, pkt_list_count_use: 8, flow_hash_list_count_tot: 8, flow_hash_list_count_use: 8, pkt_desc_list_count_tot: 8, pkt_desc_list_count_use: 8, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 6, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 6, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 15, tcp_pkt_count_tot: 8, udp_pkt_count_tot: 7, icmp_pkt_count_tot: 0, pkt_buf_count: 8, flow_hash_count: 8, pkt_desc_count: 8, circ_buf_L1_count: 7, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 8, pkt_list_count_use: 8, flow_hash_list_count_tot: 8, flow_hash_list_count_use: 8, pkt_desc_list_count_tot: 8, pkt_desc_list_count_use: 8, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 7, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 7, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 16, tcp_pkt_count_tot: 8, udp_pkt_count_tot: 8, icmp_pkt_count_tot: 0, pkt_buf_count: 9, flow_hash_count: 9, pkt_desc_count: 9, circ_buf_L1_count: 7, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 9, pkt_list_count_use: 9, flow_hash_list_count_tot: 9, flow_hash_list_count_use: 9, pkt_desc_list_count_tot: 9, pkt_desc_list_count_use: 9, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 7, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 7, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 17, tcp_pkt_count_tot: 9, udp_pkt_count_tot: 8, icmp_pkt_count_tot: 0, pkt_buf_count: 10, flow_hash_count: 10, pkt_desc_count: 10, circ_buf_L1_count: 8, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 10, pkt_list_count_use: 10, flow_hash_list_count_tot: 10, flow_hash_list_count_use: 10, pkt_desc_list_count_tot: 10, pkt_desc_list_count_use: 10, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 7, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 7, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 18, tcp_pkt_count_tot: 9, udp_pkt_count_tot: 9, icmp_pkt_count_tot: 0, pkt_buf_count: 10, flow_hash_count: 10, pkt_desc_count: 10, circ_buf_L1_count: 8, circ_buf_L2_count: 1, circ_buf_L3_count: 0, lazy_flow_hash_count: 0, lazy_flow_hash_hit: 0, pkt_list_count_tot: 10, pkt_list_count_use: 10, flow_hash_list_count_tot: 10, flow_hash_list_count_use: 10, pkt_desc_list_count_tot: 10, pkt_desc_list_count_use: 10, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 0, replied_flow_count_tcp: 0, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 8, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 8, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 19, tcp_pkt_count_tot: 10, udp_pkt_count_tot: 9, icmp_pkt_count_tot: 0, pkt_buf_count: 9, flow_hash_count: 10, pkt_desc_count: 9, circ_buf_L1_count: 8, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 1, lazy_flow_hash_hit: 0, pkt_list_count_tot: 10, pkt_list_count_use: 9, flow_hash_list_count_tot: 10, flow_hash_list_count_use: 10, pkt_desc_list_count_tot: 10, pkt_desc_list_count_use: 9, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 1, replied_flow_count_tcp: 1, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 8, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 8, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 20, tcp_pkt_count_tot: 11, udp_pkt_count_tot: 9, icmp_pkt_count_tot: 0, pkt_buf_count: 7, flow_hash_count: 9, pkt_desc_count: 7, circ_buf_L1_count: 8, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 2, lazy_flow_hash_hit: 0, pkt_list_count_tot: 10, pkt_list_count_use: 7, flow_hash_list_count_tot: 10, flow_hash_list_count_use: 9, pkt_desc_list_count_tot: 10, pkt_desc_list_count_use: 7, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 2, replied_flow_count_tcp: 2, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 9, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 9, expired_pkt_count_icmp: 0
2024-09-10 19:54:06 TRACE src/tsdn.c:441: pkt_count: 21, tcp_pkt_count_tot: 12, udp_pkt_count_tot: 9, icmp_pkt_count_tot: 0, pkt_buf_count: 6, flow_hash_count: 9, pkt_desc_count: 6, circ_buf_L1_count: 8, circ_buf_L2_count: 0, circ_buf_L3_count: 0, lazy_flow_hash_count: 3, lazy_flow_hash_hit: 0, pkt_list_count_tot: 10, pkt_list_count_use: 6, flow_hash_list_count_tot: 10, flow_hash_list_count_use: 9, pkt_desc_list_count_tot: 10, pkt_desc_list_count_use: 6, installed_entry_count_tot: 0, installed_entry_count_tcp: 0, installed_entry_count_udp: 0, installed_entry_count_icmp: 0, replied_flow_count_tot: 3, replied_flow_count_tcp: 3, replied_flow_count_udp: 0, replied_flow_count_icmp: 0, expired_pkt_count_tot: 9, expired_pkt_count_tcp: 0, expired_pkt_count_udp: 9, expired_pkt_count_icmp: 0
