time,bits_sent,bits_recv,packets_sent,packets_recv
1731171527.7267253,0.0,0.0,0.0,0.0
1731171529.7295694,0.0,0.0,0.0,0.0
1731171531.7324119,0.0,0.0,0.0,0.0
1731171533.7353714,0.0,0.0,0.0,0.0
1731171535.7383208,0.0,0.0,0.0,0.0
1731171537.739842,0.0,0.0,0.0,0.0
1731171539.742881,0.0,88563916.0,0.0,821908.0
1731171541.745826,0.0,81304164.0,0.0,820160.0
1731171543.7517526,0.0,106349264.0,0.0,1073768.0
1731171545.7546678,0.0,117064028.0,0.0,1203728.0
1731171547.755657,0.0,137361476.0,0.0,1410592.0
1731171549.7586133,0.0,127848392.0,0.0,1303368.0
1731171551.7615702,0.0,140050400.0,0.0,1414684.0
1731171553.7651699,0.0,136713152.0,0.0,1371116.0
1731171555.7665586,0.0,125111184.0,0.0,1275476.0
1731171557.7676766,0.0,129116812.0,0.0,1275488.0
1731171559.7708197,0.0,137053852.0,0.0,1330948.0
1731171561.7742443,0.0,130490120.0,0.0,1287140.0
1731171563.7756732,0.0,102947644.0,0.0,1040872.0
1731171565.7790852,0.0,89462564.0,0.0,913552.0
1731171567.782132,0.0,89078540.0,0.0,920716.0
1731171569.78548,0.0,119086196.0,0.0,1192280.0
1731171571.7877629,0.0,146319628.0,0.0,1410608.0
1731171573.7905822,0.0,129353584.0,0.0,1244560.0
1731171575.793723,0.0,115356680.0,0.0,1145508.0
1731171577.7966714,0.0,100380536.0,0.0,1010744.0
1731171579.79906,0.0,102976412.0,0.0,1049020.0
1731171581.8020296,0.0,97797908.0,0.0,990496.0
1731171583.8049443,0.0,107442924.0,0.0,1087152.0
1731171585.8078613,0.0,111610008.0,0.0,1113536.0
1731171587.8108451,0.0,96881772.0,0.0,975992.0
1731171589.8138099,0.0,96792648.0,0.0,988032.0
1731171591.8157253,0.0,107080884.0,0.0,1109772.0
1731171593.8187673,0.0,94076020.0,0.0,968796.0
1731171595.8220694,0.0,88708284.0,0.0,900600.0
1731171597.8251495,0.0,78649436.0,0.0,792356.0
1731171599.8283358,0.0,81036724.0,0.0,813404.0
1731171601.8314173,0.0,78934096.0,0.0,807824.0
1731171603.8334186,0.0,73707892.0,0.0,757328.0
1731171605.836342,0.0,86346220.0,0.0,876308.0
1731171607.8397913,0.0,73842404.0,0.0,757820.0
1731171609.8434699,0.0,72077820.0,0.0,744900.0
1731171611.847144,0.0,65969140.0,0.0,673980.0
1731171613.8504584,0.0,58825340.0,0.0,613788.0
1731171615.8527281,0.0,53779784.0,0.0,560616.0
1731171617.8553283,0.0,54261960.0,0.0,565344.0
1731171619.8570704,0.0,59741436.0,0.0,621744.0
1731171621.8597023,0.0,65377644.0,0.0,667756.0
1731171623.8626862,0.0,61990848.0,0.0,647284.0
1731171625.865882,0.0,55790584.0,0.0,576152.0
1731171627.8682272,0.0,60157172.0,0.0,627728.0
1731171629.8714418,0.0,66676564.0,0.0,694616.0
1731171631.8745363,0.0,63239356.0,0.0,632060.0
1731171633.875688,0.0,39760284.0,0.0,415536.0
1731171635.878678,0.0,46009972.0,0.0,488960.0
1731171637.8817122,0.0,47381844.0,0.0,487912.0
1731171639.8846867,0.0,47948436.0,0.0,500008.0
1731171641.887573,0.0,53557380.0,0.0,557320.0
1731171643.8911128,0.0,57144136.0,0.0,590824.0
1731171645.8944118,0.0,49629532.0,0.0,527188.0
1731171647.897617,0.0,43684260.0,0.0,463464.0
1731171649.9008071,0.0,52196164.0,0.0,541756.0
1731171651.9038165,0.0,58528460.0,0.0,597712.0
1731171653.906795,0.0,51862560.0,0.0,540720.0
1731171655.9097164,0.0,58502200.0,0.0,617924.0
1731171657.913036,0.0,60938156.0,0.0,639792.0
1731171659.9160779,0.0,64921268.0,0.0,678360.0
1731171661.9192386,0.0,61648076.0,0.0,653708.0
1731171663.9223306,0.0,68197940.0,0.0,697192.0
1731171665.9243724,0.0,50331060.0,0.0,523580.0
1731171667.9273984,0.0,43554336.0,0.0,458928.0
1731171669.9305718,0.0,39660952.0,0.0,414520.0
1731171671.933261,0.0,32389004.0,0.0,323320.0
1731171673.9363577,0.0,26311828.0,0.0,275848.0
1731171675.9392712,0.0,19032376.0,0.0,204932.0
1731171677.9421155,0.0,13323004.0,0.0,141668.0
1731171679.9451282,0.0,13364956.0,0.0,138800.0
1731171681.948135,0.0,20333648.0,0.0,206564.0
1731171683.9511452,0.0,30274940.0,0.0,305856.0
1731171685.9541142,0.0,18589024.0,0.0,184572.0
1731171687.9570405,0.0,2531200.0,0.0,26460.0
1731171689.9682367,0.0,0.0,0.0,0.0
1731171691.972006,0.0,0.0,0.0,0.0
1731171693.9754143,0.0,0.0,0.0,0.0
1731171695.9785814,0.0,1316.0,0.0,4.0
1731171697.9815755,0.0,1316.0,0.0,4.0
1731171699.9836729,0.0,0.0,0.0,0.0
1731171701.9866407,0.0,0.0,0.0,0.0
1731171703.9893227,0.0,0.0,0.0,0.0
1731171705.9925303,0.0,0.0,0.0,0.0
1731171707.9955394,0.0,0.0,0.0,0.0
1731171709.99837,0.0,0.0,0.0,0.0
1731171712.001276,0.0,1316.0,0.0,4.0
1731171714.0041747,0.0,1316.0,0.0,4.0
1731171716.0077696,0.0,0.0,0.0,0.0
1731171718.009185,0.0,0.0,0.0,0.0
1731171720.0122333,0.0,0.0,0.0,0.0
1731171722.0154386,0.0,0.0,0.0,0.0
1731171724.0188012,0.0,0.0,0.0,0.0
1731171726.0222478,0.0,2632.0,0.0,8.0
1731171728.0254092,0.0,1316.0,0.0,4.0
1731171730.0284772,0.0,1316.0,0.0,4.0
1731171732.0319166,0.0,1316.0,0.0,4.0
1731171734.046673,0.0,1316.0,0.0,4.0
